label,prediction,ec3
0,9.38688e-06,2
0,1.3597666e-07,2
0,2.7821011e-08,3
0,9.67942e-06,1
0,1.6429217e-07,3
0,9.3947236e-08,2
0,0.00058878976,1
0,9.003422e-08,2
0,4.547882e-07,2
0,6.0531725e-08,2
0,1.819268e-08,2
0,8.5180446e-08,2
0,7.612405e-08,2
0,7.5025945e-08,2
0,6.7226335e-07,2
0,4.895889e-07,3
0,1.6084581e-07,2
0,1.206358e-07,2
0,0.00013211188,2
0,3.5201213e-06,1
0,1.2949448e-06,2
0,1.0736189e-08,1
0,2.1274793e-08,2
0,3.3801538e-07,3
0,2.1392029e-07,3
0,1.0160516e-05,2
0,3.5765808e-07,3
0,4.204455e-07,3
0,3.880158e-07,3
0,2.5824875e-08,3
0,2.5662388e-05,2
0,5.5400017e-07,3
0,9.150545e-08,2
0,1.3045707e-07,3
0,6.1611985e-08,2
0,4.0779628e-07,3
0,2.0872973e-08,2
0,3.1577486e-07,3
0,9.780787e-08,3
0,5.8379694e-08,3
0,1.2842582e-07,3
0,1.1740213e-07,3
0,1.1125247e-08,2
0,1.08587926e-07,3
0,2.7520214e-06,1
0,4.1618196e-06,2
0,4.649697e-07,2
0,2.9706139e-06,1
0,2.3303997e-07,2
0,1.3835835e-06,2
0,2.23293e-06,2
0,1.065373e-05,1
0,4.06077e-08,2
0,3.0189256e-06,1
0,9.003422e-08,2
0,2.7005349e-08,2
0,1.7520381e-07,3
0,1.1728206e-07,3
0,8.33862e-07,1
0,1.0117338e-07,2
0,5.2984557e-08,3
0,8.85907e-08,3
0,1.1479545e-07,2
0,1.8785872e-07,2
0,1.0064953e-06,2
0,3.0423664e-07,3
0,3.3178015e-08,3
0,3.0955798e-05,1
0,3.790223e-06,1
0,2.6797748e-08,3
0,1.2116382e-06,3
0,0.00047536514,1
0,2.34905e-06,3
0,2.5816735e-06,2
0,9.633454e-07,2
0,4.433515e-08,2
0,5.115314e-06,2
0,3.9703102e-07,3
0,8.33862e-07,1
0,1.4927008e-07,2
0,1.7068222e-08,2
0,7.8817345e-07,2
0,8.4572446e-07,1
0,1.7498703e-06,2
0,4.7955973e-07,3
0,5.490434e-07,3
0,1.395756e-07,3
0,9.62858e-08,3
0,3.3775912e-08,2
0,1.9687342e-08,2
0,1.9216895e-06,1
0,5.1048527e-08,3
0,8.0465455e-08,2
0,3.4199743e-08,2
0,1.7109542e-07,3
0,2.2449563e-05,1
0,1.1433725e-06,1
0,1.182418e-05,1
0,4.7276234e-07,3
0,3.3118035e-06,1
0,7.967224e-08,2
0,5.033201e-08,2
0,1.1002666e-07,2
0,5.8499072e-08,3
0,6.078277e-06,2
0,1.0,1
0,1.2904226e-07,2
0,1.3844057e-06,2
0,1.2731309e-07,2
0,5.83409e-07,1
0,8.316539e-06,1
0,1.3291546e-07,3
0,7.8817345e-07,2
0,5.1806733e-06,2
0,2.0777412e-07,3
0,3.1477126e-07,3
0,1.6296764e-07,2
0,3.715319e-07,3
0,5.6292677e-08,2
0,2.2221566e-05,2
0,1.3899188e-05,1
0,1.2177775e-07,2
0,7.6768664e-08,2
0,7.37628e-07,3
0,1.4639468e-07,3
0,0.00023639442,1
0,3.6119786e-08,2
0,2.528228e-08,3
0,7.0547785e-06,2
0,1.4123762e-05,1
0,1.2291107e-08,2
0,6.8262925e-06,2
0,1.9482289e-07,3
0,2.5433164e-06,1
0,1.465461e-07,2
0,3.212913e-07,3
0,5.922206e-08,3
0,1.4477652e-06,2
0,4.337624e-08,3
0,1.8244165e-07,3
0,6.912155e-07,1
0,7.6286015e-05,2
0,2.0632474e-08,2
0,4.1248113e-06,2
0,6.3469533e-06,2
0,6.912155e-07,1
0,1.207067e-07,2
0,1.1171816e-06,2
0,0.0003670657,2
0,1.4217181e-06,2
0,3.415517e-06,2
0,2.7371152e-06,1
0,9.003422e-08,2
0,2.9522198e-06,2
0,7.954257e-08,2
0,6.435769e-08,2
0,8.68199e-06,1
0,1.13059684e-07,3
0,1.4542383e-07,2
0,2.538341e-08,3
0,2.2418159e-07,2
0,3.5280177e-08,2
0,7.8817345e-07,2
0,2.5765107e-06,2
0,9.982418e-07,3
0,1.2601477e-07,3
0,1.4642553e-07,2
0,5.83409e-07,1
0,5.6892776e-07,1
0,0.00042243252,1
0,1.5715251e-07,3
0,2.5656678e-07,2
0,9.003422e-08,2
0,3.212913e-07,3
0,8.893423e-08,2
0,1.3750514e-07,3
0,5.793659e-07,1
0,2.6656124e-05,2
0,2.3136158e-08,2
0,3.8941891e-07,3
0,8.893389e-08,3
0,1.5523307e-07,3
